회사이름,회사설명,회사URL,설명,두 번째 P 요소 텍스트,첫 번째 Span 요소 텍스트,두 번째 Span 요소 텍스트
㈜아시아정보시스템,"네트워크/인프라 관련업무(일본근무,일본어필수)",https://www.jobkorea.co.kr/Recruit/GI_Read/44039409?rPageCode=SL&logpath=21,"시스템운영, 네트웍구축, 네트워크관리, 통신, 서버관리",,6시간 전 수정,~04/20(토)
㈜티사이언티픽,[티사이언티픽] 웹방화벽 및 네트워크 보안 운영(주간) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43737055?rPageCode=SL&logpath=21,"솔루션, 보안관제, 소프트웨어개발",,6시간 전 수정,~02/28(수)
㈜티사이언티픽,[티사이언티픽] 미들웨어 WEB/WAS 운영자 채용(경력),https://www.jobkorea.co.kr/Recruit/GI_Read/43810302?rPageCode=SL&logpath=21,"솔루션, 소프트웨어개발",과장~차장급 외,6시간 전 수정,~02/28(수)
씨스존,"씨스존(주) 신입 및 경력 - 네트워크 엔지니어, 사업수행 PM 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/43773112?rPageCode=SL&logpath=21,"네트웍구축, 네트워크관리",사원급 외,6시간 전 수정,~03/15(금)
㈜포토위젯,iOS 엔지니어 (5년차 이상),https://www.jobkorea.co.kr/Recruit/GI_Read/44039387?rPageCode=SL&logpath=21,"아이폰, IOS",,6시간 전 수정,~03/21(목)
씨스존,"씨스존(주) 신입 및 경력 - 시스코 전문가 (CCIE, CCNP, CCDP...) 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/43950920?rPageCode=SL&logpath=21,"NI, SI, 네트워크관리",사원급 외,6시간 전 수정,~04/07(일)
가치소프트,SW 개발자 모집 - 2D/3D Vision SW 및 AI SW 개발 프로그래머,https://www.jobkorea.co.kr/Recruit/GI_Read/44039364?rPageCode=SL&logpath=21,"데이터관리, 솔루션, Unity, SI, 소프트웨어개발, AI",,6시간 전 수정,~04/20(토)
㈜케이씨엠에스,상암동 LG CNS 2024년 Azure AD 운영 및 하이브리드 AD 구성 및 운영 2년 이상 경험자를 모집 합니다. (k03),https://www.jobkorea.co.kr/Recruit/GI_Read/44039363?rPageCode=SL&logpath=21,SM,,6시간 전 수정,모레마감
씨스존,씨스존(주) 신입 네트워크 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43999205?rPageCode=SL&logpath=21,"네트웍구축, 네트워크관리",사원급 외,6시간 전 수정,~04/15(월)
㈜HYSOFT,"C, C++(3월4일/6월말/분당수내역/고급) 프로그래머를 모십니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/43947174?rPageCode=SL&logpath=21,"C++, DW, JavaScript, jquery, Websquare, SI, React, vue.js, C, xPlatform, jsp, Miplatfrom, nexacro, Java, Rest API, SPRING, springboot",,6시간 전 수정,~02/23(금)
아이와이씨앤씨㈜,[본사 정규직] PC유지보수/ 서버 및 IDC 지원 인력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44039273?rPageCode=SL&logpath=21,"소프트웨어개발, 솔루션, 네트워크관리, 서버관리",사원급,6시간 전 수정,~03/21(목)
㈜휴닛로보틱스,회로 설계 및 FW 개발 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44030423?rPageCode=SL&logpath=21,"펌웨어, 회로설계, 임베디드, 하드웨어, PCB, 펌웨어, 펌웨어",,6시간 전 수정,~03/20(수)
㈜ 다임즈,Web 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43913886?rPageCode=SL&logpath=21,"BigData, 솔루션, SI, ISP, 소프트웨어개발",팀원,6시간 전 수정,~02/29(목)
㈜에이치엔아이티,증권사 상황실 OP근무,https://www.jobkorea.co.kr/Recruit/GI_Read/43840097?rPageCode=SL&logpath=21,"SM, 솔루션, 시스템운영, SI, 보안관제, 서버관리, 네트워크관리",사원급,6시간 전 수정,~02/29(목)
㈜오륜디지탈,"은행 퇴직연금 운영팀 개발 - Java, 퇴직연금",https://www.jobkorea.co.kr/Recruit/GI_Read/44039313?rPageCode=SL&logpath=21,"SM, 시스템분석, SI, SI개발, 클라이언트, SI개발, 시스템설계, 소프트웨어개발",,6시간 전 수정,~02/26(월)
㈜고려진단,"(청주,체재비지원) LG, C#, MSSQL, 초,중급 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/44039304?rPageCode=SL&logpath=21,"SM, C#, SI, mssql",,6시간 전 수정,~03/21(목)
㈜오륜디지탈,보험사 인프라 미들웨어 운영 -WAS,https://www.jobkorea.co.kr/Recruit/GI_Read/44039282?rPageCode=SL&logpath=21,"SM, 시스템운영, 시스템운영, 서버관리, WAS",,6시간 전 수정,~02/26(월)
㈜오륜디지탈,"손보사 운영 업무 - 자동차보험, 장기보험",https://www.jobkorea.co.kr/Recruit/GI_Read/44039248?rPageCode=SL&logpath=21,"SM, SI, SI개발, 클라이언트, SI개발, 소프트웨어개발",,6시간 전 수정,~02/26(월)
㈜리버스아이티,[경력] 시스템 엔지니어 정규직 모집(삼성SDS상암),https://www.jobkorea.co.kr/Recruit/GI_Read/43961190?rPageCode=SL&logpath=21,"소프트웨어개발, 서버구축, 시스템운영, 서버관리",과장~차장급,6시간 전 수정,~03/09(토)
㈜리버스아이티,통합회원관리 웹 솔루션 개발자 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43988548?rPageCode=SL&logpath=21,소프트웨어개발,,6시간 전 수정,~03/15(금)
㈜비투넷,"[정규직 채용] SCM, S&OP, SCP (개발직) -코스닥 IT기업,강남,초급-중급.",https://www.jobkorea.co.kr/Recruit/GI_Read/43945356?rPageCode=SL&logpath=21,"SM, 솔루션, BI, 개발직, S&OP, PM, SI, MES, 시스템분석, PL, SCP, 시스템설계, SCM, ERP, 소프트웨어개발",주임~대리급 외,6시간 전 수정,내일마감
㈜비투넷,"[정규직 채용] AI 연구개발직 (Python) -코스닥 IT기업, 강남",https://www.jobkorea.co.kr/Recruit/GI_Read/44005190?rPageCode=SL&logpath=21,"SM, 솔루션, BI, 딥러닝, SI, 인공지능, BI, 소프트웨어개발, AI",,6시간 전 수정,~02/29(목)
컴퓨터수리,(재택환영)경기남부권역 네트워크설치및컴퓨터수리외근기사모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/44039227?rPageCode=SL&logpath=21,"A·S수리, 시스템영업, 기술영업, 시스템운영, 하드웨어, 설치, 네트워크관리, 하드웨어영업, 서버구축, 네트워크영업, 컴퓨터, AS, 유지보수, 기술지원, 유지보수",,6시간 전 수정,내일마감
㈜비투넷,"[강서구-중급.고급] EDI 프로젝트(Front 개발), React 필수/ 4월부터",https://www.jobkorea.co.kr/Recruit/GI_Read/44014712?rPageCode=SL&logpath=21,"SM, 솔루션, BI, SI, React, Java, 소프트웨어개발",,6시간 전 수정,~03/06(수)
㈜먼슬리키친,[PG정산/선불사업 개발] 선불 및 전산/PG결제 정산 관련 경험자 및 경력자-먼키,https://www.jobkorea.co.kr/Recruit/GI_Read/43901778?rPageCode=SL&logpath=21,"Nodejs, 시스템운영, 서버구축, 시스템분석, 프랜차이즈, PG, 시스템설계, 정산시스템, 네트워크관리, 정보보안, 백오피스, 핀테크, 암호화폐, API",,6시간 전 수정,~03/01(금)
㈜먼슬리키친,[백엔드개발] 게임용서버 구조설계 경험 2회이상자/이커머스 및 앱 대량처리 유경험자 -먼키,https://www.jobkorea.co.kr/Recruit/GI_Read/44017369?rPageCode=SL&logpath=21,"트래픽 서비스, JavaScript, SI개발, MSA, Nodejs, 서버관리, ES6, 프랜차이즈, 백오피스, 클라이언트, 프레임워크, API, express",,6시간 전 수정,~03/29(금)
㈜비투넷,"[강서구-중급.고급] EDI 프로젝트(Back-end 개발), SpringBoot/마리아DB/ 4월부터",https://www.jobkorea.co.kr/Recruit/GI_Read/44015056?rPageCode=SL&logpath=21,"SM, 솔루션, BI, SI, 마리아, PL/SQL, 소프트웨어개발, springboot",,6시간 전 수정,~03/13(수)
매그나칩반도체,[매그나칩반도체] MIS 시스템 개발/운영 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44039217?rPageCode=SL&logpath=21,"시스템운영, 시스템분석, 시스템설계, 서버관리, 회로설계",주임~대리급 외,6시간 전 수정,~03/04(월)
㈜에스티에이테스팅컨설팅,[ISTQB 교육/자격시험 지원] SW 테스트 엔지니어 모집(일반 부문),https://www.jobkorea.co.kr/Recruit/GI_Read/44039214?rPageCode=SL&logpath=21,"모바일앱개발, Postman, 백엔드, Charles, 솔루션, 테스터, 검증, ISTQB, 정보보안, Admin, 금융핀테크, 클라이언트, ㈜에스티에이테스팅컨설팅, SW테스트, 네트워크관리, 정보보안, 아키텍처, 핀테크, 검증, 소프트웨어개발, API",사원급 외,6시간 전 수정,~02/29(목)
㈜넥사,[PG정산/선불사업/스크랩핑 개발] 선불 및 전산/PG결제 정산 관련 유경험자,https://www.jobkorea.co.kr/Recruit/GI_Read/43696148?rPageCode=SL&logpath=21,"시스템분석, 시스템운영, 정보보안, 서버구축, 시스템분석, SI개발, 쇼핑몰, 시스템설계, 소셜커머스, 네트워크관리, 오픈마켓, 정보보안, 시스템설계, 핀테크, 암호화폐, 네트워크관리",,6시간 전 수정,~02/29(목)
㈜넥사,[백엔드개발] 게임용서버 구조설계 경험 2회이상자/이커머스 및 앱 대량처리 유경험자 -먼키,https://www.jobkorea.co.kr/Recruit/GI_Read/44016813?rPageCode=SL&logpath=21,"트래픽 서비스, JavaScript, SI개발, MSA, 서버관리, ES6, NODE.JS, 쇼핑몰, 소셜커머스, 오픈마켓, 백오피스, 클라이언트, 프레임워크, API, express",,6시간 전 수정,~03/22(금)
두플,"[신규채용] 반도체 장비제어 SW개발&유지보수 담당자(C#, C++)",https://www.jobkorea.co.kr/Recruit/GI_Read/43962758?rPageCode=SL&logpath=21,"BigData, C++, 정보통신, PLC, 솔루션, C#, 시스템운영, SI, MES, SI개발, 클라이언트, SI개발, SW, 시스템설계, 제어·설계, app, 아키텍처, 알고리즘, 소프트웨어개발",팀원,6시간 전 수정,~03/10(일)
㈜넥사,[벡엔드개발] 포스/키오스크/테이블오더/정산시스템 구축경험자,https://www.jobkorea.co.kr/Recruit/GI_Read/44018365?rPageCode=SL&logpath=21,"트래픽 서비스, JavaScript, SI개발, MSA, 서버관리, ES6, NODE.JS, 쇼핑몰, 소셜커머스, 오픈마켓, 백오피스, 클라이언트, 프레임워크, API, express",,6시간 전 수정,~03/29(금)
두플,[상시채용] 제조빅데이터 수집/분석 솔루션개발자 모집(Java 고급),https://www.jobkorea.co.kr/Recruit/GI_Read/43671556?rPageCode=SL&logpath=21,"BigData, 정보통신, SI개발, 솔루션, 시스템운영, SI, 서버관리, 시스템분석, 시스템설계, 제어·설계, HTTP, 소프트웨어개발",팀원,6시간 전 수정,~02/29(목)
㈜드래곤플라이,[드래곤플라이] 스페셜포스1 클라이언트 프로그래머 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44028171?rPageCode=SL&logpath=21,"클라이언트, 게임기획",팀원,6시간 전 수정,~03/20(수)
㈜비투넷,"[강서구-중급.고급] Back-end (공통개발), SpringBoot/마리아DB/ 즉시부터 8월까지",https://www.jobkorea.co.kr/Recruit/GI_Read/44030376?rPageCode=SL&logpath=21,"SM, SI개발, 솔루션, BI, SI, 공통 개발, 소프트웨어개발",,6시간 전 수정,~02/29(목)
㈜아이티사람들,"[ 초긴급 ,,,, (JAVA & XPLATFORM) - 장충동(동대입구) ]",https://www.jobkorea.co.kr/Recruit/GI_Read/44039189?rPageCode=SL&logpath=21,"SI개발, SI, xPlatform, Java",,6시간 전 수정,~02/23(금)
주식회사 닥터스랩,[소프트웨어QA/QC] 경력자/개발 및 테스트자동화 실무 경험자,https://www.jobkorea.co.kr/Recruit/GI_Read/43808099?rPageCode=SL&logpath=21,"데이터관리, 소프트웨어, 상품기획, 품질검증, 프로그램언어, 테스터, 자동화, DBMS, 웹마스터, 데이터마이닝, 품질개선, SW, 리눅스, 쇼핑몰, 소셜커머스, 오픈마켓, 검증",,6시간 전 수정,~03/08(금)
㈜케이씨엠에스,"수원 삼성전자 차세대 SCM 구축 Python, Pandas함수 및 Vectorization 코딩기법 경험자를 모집 합니다. (k03)",https://www.jobkorea.co.kr/Recruit/GI_Read/44039186?rPageCode=SL&logpath=21,SI,,6시간 전 수정,모레마감
㈜딥인사이트,AI SOC 응용 프로그램 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/43937887?rPageCode=SL&logpath=21,하드웨어,,6시간 전 수정,~03/06(수)
디에스지엔㈜,삼성SDS(상암) 금융 네트워크 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43962668?rPageCode=SL&logpath=21,"네트워크관리, IDC, 네트웍구축, 네트워크관리, 통신",조장/반장/직장 외,6시간 전 수정,~04/08(월)
㈜에스티에이테스팅컨설팅,[ISTQB 교육/자격시험 지원]SW 테스트 엔지니어 모집(금융핀테크 부문),https://www.jobkorea.co.kr/Recruit/GI_Read/44039124?rPageCode=SL&logpath=21,"모바일앱개발, 사이트관리, 웹테스트, 솔루션, 검증, QA, 테스트 케이스 설계, ㈜에스티에이테스팅컨설팅, 게임기획, SW테스트, 소프트웨어테스트, 소프트웨어개발",사원급 외,6시간 전 수정,~02/29(목)
㈜인피닉,[세종] SW 테스트 엔지니어(QA) 신입 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43975953?rPageCode=SL&logpath=21,"테스터, IT컨설팅, 검증",,6시간 전 수정,~03/14(목)
㈜마크스폰,개발자(웹 풀스택 개발자) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44039103?rPageCode=SL&logpath=21,"GUI, SI개발, 서버관리, 인터페이스, 플랫폼운영, 클라이언트, 반응형웹, HTTP, 핀테크, 컨설팅, 풀스택개발, 플랫폼개발",,6시간 전 수정,~03/24(일)
㈜띵스파이어,플랫폼 개발센터 SW개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/43943579?rPageCode=SL&logpath=21,"BigData, 솔루션, DataMining, 소프트웨어개발",과장~차장급 외,6시간 전 수정,~03/07(목)
오토포커스 ㈜,웹퍼블리셔 / 웹 디자인 경력 정규직 인재 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44039101?rPageCode=SL&logpath=21,"SM, 웹표준·웹접근성, UI·UX기획, GUI, 솔루션, SI, 모바일디자인, 반응형웹, 웹마스터, GUI, 소프트웨어개발",,6시간 전 수정,~04/20(토)
㈜비즈테크아이,[LG그룹] 풀스텍 JAVA (SE) 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44002293?rPageCode=SL&logpath=21,소프트웨어개발,,6시간 전 수정,~03/15(금)
㈜에스티에이테스팅컨설팅,[ISTQB 교육/자격시험 지원]SW 테스트 엔지니어 모집(전자상거래 부문),https://www.jobkorea.co.kr/Recruit/GI_Read/44039078?rPageCode=SL&logpath=21,"모바일앱개발, 웹테스트, 솔루션, 테스터, 웹마스터, 검증, QA, 테스트 케이스 설계, ㈜에스티에이테스팅컨설팅, SW테스트, 소프트웨어테스트, 검증, 소프트웨어개발",사원급 외,6시간 전 수정,~02/29(목)
(유)아소테크,SW 개발자 모집(Application),https://www.jobkorea.co.kr/Recruit/GI_Read/44039075?rPageCode=SL&logpath=21,"GUI, Hardware, Firmware",,6시간 전 수정,~03/21(목)
㈜아이티사람들,"[ 초긴급 ,,,, MM컨설턴트 - 상일동 ]",https://www.jobkorea.co.kr/Recruit/GI_Read/44039071?rPageCode=SL&logpath=21,"SI개발, SI, SAP, ABAP, MM컨설턴트",,6시간 전 수정,~02/23(금)
㈜아이에스솔루션,"전기용 기계, PLC 자동제어 시스템, HMI 엔지니어 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/44038785?rPageCode=SL&logpath=21,"회로설계, 자동제어, 회로설계, CAD, HMI, 전기설비, PLC, 자동제어, HMI, PLC, 전기",,6시간 전 수정,~04/20(토)
㈜서울게임,프로게이머 코치님 모집(롤/카트/발로란트/에이펙스레전드/배틀그라운드/모바일배그)[SGA교육그룹],https://www.jobkorea.co.kr/Recruit/GI_Read/43977286?rPageCode=SL&logpath=21,"증강현실, 기능학원, 에이펙스레전드, 컨텐츠개발, 테스터, 예체능, 카트라이더, 학원강사, 가상현실, 클라이언트, 리그오브레전드, MMORPG, 자격증·기술, 메타버스, IT학원, 발로란트, 직업훈련, 실기교사, 검증",사원급 외,6시간 전 수정,~03/08(금)
㈜서울게임,IT학원 전분야 게임개발 강사 모집(프로그램/원화/3D그래픽/기획/웹툰) [SGA교육그룹],https://www.jobkorea.co.kr/Recruit/GI_Read/44027077?rPageCode=SL&logpath=21,"증강현실, 예체능, 클라이언트, UI·UX기획, 콘텐츠기획, 모델링, 게임기획, MMORPG, 자격증·기술, 메타버스, IT학원, 직업훈련",사원급 외,6시간 전 수정,~03/20(수)
㈜빅크래프트,CRM 플랫폼 - 풀스택 개발자 (ReactJS),https://www.jobkorea.co.kr/Recruit/GI_Read/44039037?rPageCode=SL&logpath=21,광고대행,,6시간 전 수정,~02/29(목)
㈜에이에스티홀딩스,IT 인프라 [서버/네트웍/보안] 분야별 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/43939036?rPageCode=SL&logpath=21,"IT 인프라, Centos, 하드웨어, AWS, 서버구축, Linux, 미들웨어, Redhat, 컴퓨터, Java, 네트워크관리, 유지보수",주임~대리급 외,6시간 전 수정,~04/05(금)
㈜인피닉,[가산]SW 테스트 엔지니어(QA) 신입 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44039025?rPageCode=SL&logpath=21,"테스터, IT컨설팅, 검증",,6시간 전 수정,~03/21(목)
엔셀㈜,"반도체 전산/DB/SQL운영, shell 프로그래밍 (영어회화 가능자)",https://www.jobkorea.co.kr/Recruit/GI_Read/44039010?rPageCode=SL&logpath=21,"BigData, 데이터관리, 시스템운영, SI, 서버관리, 소프트웨어개발",사원급 외,7시간 전 수정,~03/29(금)
㈜첫눈소프트,서울역/REACT/리엑트/15개월,https://www.jobkorea.co.kr/Recruit/GI_Read/44038971?rPageCode=SL&logpath=21,SI개발,,7시간 전 수정,~03/21(목)
㈜한국에프디엑스네트웍스,AIOCR 서비스 및 포털 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44038970?rPageCode=SL&logpath=21,SI개발,팀원,7시간 전 수정,~03/10(일)
㈜위메이드,기술PM(블록체인 게임 플랫폼),https://www.jobkorea.co.kr/Recruit/GI_Read/44038946?rPageCode=SL&logpath=21,"데이터관리, PM",사원급 외,7시간 전 수정,~03/20(수)
㈜포인트엑스,"[가산] 주차관리시스템 Admin 고도화 프로젝트 (Vue, Javascript)",https://www.jobkorea.co.kr/Recruit/GI_Read/44038943?rPageCode=SL&logpath=21,"JavaScript, SI, Vue",과장~차장급,7시간 전 수정,~03/21(목)
딥브레인 AI,[딥브레인AI] SRE 담당자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44034965?rPageCode=SL&logpath=21,"솔루션, 서버구축, 시스템분석, 시스템설계, 서버관리, 소프트웨어개발",,7시간 전 수정,상시채용
㈜메뉴톡,[판교IT기업] PHP개발자 경력직 및 신입 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43916179?rPageCode=SL&logpath=21,"신규 서비스 개발, 서버구축, 백엔드/서버개발, 서버관리, 플랫폼 서비스 관리",사원급 외,7시간 전 수정,~03/01(금)
㈜메뉴톡,[판교IT기업] 안드로이드 개발자 경력직 및 신입 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43916305?rPageCode=SL&logpath=21,"앱서비스 개발, 플랫폼",사원급 외,7시간 전 수정,~03/01(금)
㈜커리어텍,[본사] 삼성물산 Platform사업팀 -빌딩플랫폼 현장 시공관리직 채용.,https://www.jobkorea.co.kr/Recruit/GI_Read/44038926?rPageCode=SL&logpath=21,"네트워크관리, CAD 설계 및 기술지원 능력, IBS, BMS, IBS, IT 기본 지식 및 클라우드, 클라우드개발자, 캐드원, IBS, BMS 지식 및 도면, 아웃소싱, 클라우드아키텍트, IT 기본 지식 및 네트워크 인프라등",사원급 외,7시간 전 수정,~03/04(월)
㈜선익시스템,[선익시스템] 디지털전략팀 정규직 채용(경력),https://www.jobkorea.co.kr/Recruit/GI_Read/44038916?rPageCode=SL&logpath=21,"디스플레이, 자산관리",주임~대리급 외,7시간 전 수정,~03/21(목)
맥인터내셔널,가맹점관리직원,https://www.jobkorea.co.kr/Recruit/GI_Read/43852454?rPageCode=SL&logpath=21,POS,,7시간 전 수정,상시채용
㈜고려진단,"(증미역) LG엔솔, Java, MSSQL, 물류시스템개발, 중급, 장기근무",https://www.jobkorea.co.kr/Recruit/GI_Read/44038906?rPageCode=SL&logpath=21,"SM, SI, mssql, Java",,7시간 전 수정,~03/21(목)
㈜유니위즈,[정규직] JAVA(웹) 프로그래머 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44038894?rPageCode=SL&logpath=21,"모바일앱개발, SM, SI, 소프트웨어개발",사원급 외,7시간 전 수정,~03/22(금)
㈜커리어텍,[본사] 삼성물산 부서별 IT 운영지원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44038892?rPageCode=SL&logpath=21,"시스템 운영, 시스템 개발, 오류수정, 시스템운영, 시스템운영, 방화벽, 서버구축, 시스템분석, 네트워크관리, 시스템설계, 네트워크관리, 서버구축, 아웃소싱, 서버관리, 시스템 관리",사원급 외,7시간 전 수정,~03/04(월)
㈜누리플렉스,2024년 누리플렉스 Application 개발자/신규사업 기획자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43734372?rPageCode=SL&logpath=21,"신사업기획, 사업기획",,7시간 전 수정,~03/09(토)
㈜누리플렉스,2024년 누리플렉스 소프트웨어 개발자 공개 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43734404?rPageCode=SL&logpath=21,"시스템분석, 시스템설계",,7시간 전 수정,~03/09(토)
㈜누리플렉스,2024년 누리플렉스 사내 전산 인프라 관리 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43734407?rPageCode=SL&logpath=21,"시스템분석, 시스템운영, 정보보안, 시스템설계, 시스템설계, 서버관리, 네트워크관리",,7시간 전 수정,~03/09(토)
㈜제이투이,"[Python SI 용산역] 차세대 디지털시스템 구축, Python/SQL, 고급, 3월-15개월, 용산 서울역 효창공원앞.........(8)",https://www.jobkorea.co.kr/Recruit/GI_Read/44038825?rPageCode=SL&logpath=21,SI,과장~차장급 외,7시간 전 수정,~02/27(화)
㈜제이투이,"[REACT SI 용산역] 차세대 디지털시스템 구축, JAVA/REACT/ORACLE, 고급, 3월-15개월, 용산 서울역 효창공원앞.........(8)",https://www.jobkorea.co.kr/Recruit/GI_Read/44038701?rPageCode=SL&logpath=21,SI,과장~차장급 외,7시간 전 수정,~02/27(화)
㈜포스토피아,"C#으로 프로젝트 설계, 개발 / 솔루션 개발 정규직 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/44038419?rPageCode=SL&logpath=21,"인쇄, 출력",,7시간 전 수정,~03/21(목)
㈜버킷스토어,크리스몰 백엔드 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43957340?rPageCode=SL&logpath=21,쇼핑몰,,7시간 전 수정,상시채용
㈜버킷스토어,크리스몰 프론트엔드 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43957336?rPageCode=SL&logpath=21,쇼핑몰,,7시간 전 수정,상시채용
태평양물산,"태평양물산그룹 신입 및 경력 채용 - 내수/수출영업, 인프라",https://www.jobkorea.co.kr/Recruit/GI_Read/43745873?rPageCode=SL&logpath=21,"문서작성, 거래처관리, 저작권, 잡화디자인, 패션, 특허담당, 납품영업, 여성캐주얼디자인, 유통영업, 홈패션디자인, 섬유디자인, 수출입계약, 시스템분석, 시스템운영, 가맹점관리, 대리점관리, 시스템운영, 정보보안, 바이어개발, 서버구축, 시스템분석, 영어, 주얼리디자인, VMD, 거래선개발관리, 네트워크관리, 남성캐주얼디자인, 시스템설계, 악세사리디자인, 패턴사, 디지털디자인, 시스템설계, 의상디자인, 브랜드디자인, 고객관리, 네트워크관리, 소송·민사·등기, 일본어, 국내영업",,7시간 전 수정,~02/28(수)
㈜누리플렉스,2024년 누리플렉스 무선 SW 개발 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43847467?rPageCode=SL&logpath=21,"시스템분석, 임베디드, 무선통신, 시스템설계",,7시간 전 수정,~03/11(월)
㈜유니베이아이엔씨,[운영프로젝트]웹프로그래머 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44038620?rPageCode=SL&logpath=21,"SI, 소프트웨어개발",,7시간 전 수정,~03/21(목)
㈜누리플렉스,2024년 메디허브 백엔드 개발자 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43847523?rPageCode=SL&logpath=21,"서버관리, 챗봇, 소프트웨어개발",,7시간 전 수정,~03/11(월)
더코더,(주)더코더 미래기술연구소 센터장 구인,https://www.jobkorea.co.kr/Recruit/GI_Read/43788100?rPageCode=SL&logpath=21,"모바일앱개발, 솔루션, 소프트웨어개발",과장~차장급 외,7시간 전 수정,~03/16(토)
㈜누리플렉스,2024년 누리플렉스 백엔드 개발 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43942326?rPageCode=SL&logpath=21,"시스템운영, 서버관리, 시스템설계",,7시간 전 수정,~03/11(월)
마이스마트하우스㈜,웹/앱 플랫폼 개발자 모집 채용 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/44038687?rPageCode=SL&logpath=21,"안드로이드, 스마트폰, 시스템분석, 서버관리, 정보보안, 모바일App, 아이폰, 모바일, 시스템설계",팀장/매니저/실장,7시간 전 수정,~03/21(목)
컴퓨터수리,컴퓨터수리네트워크서버설치및관리팀원모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44038679?rPageCode=SL&logpath=21,"유지보수, 빅데이터, 이동통신, 전자통신, 데이터레이크, 컴퓨터AS, 노트북AS, ETL, 하드웨어, 컴퓨터수리, 무선통신, 광통신, 위성통신, 컴퓨터, AS, 노트북수리, 데이터파이프라인, 유지보수",팀원,7시간 전 수정,내일마감
뉴코리아전자통신㈜,공공기관 센터(마포) 정보통신 유지보수 `팀장` 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44003351?rPageCode=SL&logpath=21,"네트웍구축, 시스템운영, 네트워크관리, 통신, 서버관리, 유지보수",과장~차장급,7시간 전 수정,~04/15(월)
주식회사 케이이에스,전기전자사업부 과제 신뢰성 신입/경력 채용 (공학계열 우대),https://www.jobkorea.co.kr/Recruit/GI_Read/44038671?rPageCode=SL&logpath=21,"전자, 문서작성, 전기",,7시간 전 수정,~03/21(목)
주식회사 케이이에스,전기전자사업부 의료기기 시험원 채용 (신입 및 경력),https://www.jobkorea.co.kr/Recruit/GI_Read/44038658?rPageCode=SL&logpath=21,"전자, 문서작성, 전기",,7시간 전 수정,~03/21(목)
컴퓨터수리,"[신입대환영]컴퓨터수리노트북/데스크탑설치,조립,수리-신입팀원모집",https://www.jobkorea.co.kr/Recruit/GI_Read/44038638?rPageCode=SL&logpath=21,"네트워크관리, 거래처관리, 고객응대, 예약·발권, 가이드, 가맹점관리, 대리점관리, 하드웨어, 여행사무, 거래선개발관리, 솔루션스아키텍트, 클라우드개발자, 컴퓨터, AS, 클라우드아키텍트, 고객관리, 유지보수, 항공사무",팀원,7시간 전 수정,내일마감
㈜첫눈소프트,"[수원/고급] C#, MES 개발자 모집 (12월말까지)",https://www.jobkorea.co.kr/Recruit/GI_Read/44038615?rPageCode=SL&logpath=21,C#,,7시간 전 수정,~02/26(월)
