회사이름,회사설명,회사URL,설명,두 번째 P 요소 텍스트,첫 번째 Span 요소 텍스트,두 번째 Span 요소 텍스트
㈜시스윈로보틱스,"2024년 부문별 신입/경력 채용 [개발/사무/설계/전장/설치,유지보수]",https://www.jobkorea.co.kr/Recruit/GI_Read/44013392?rPageCode=SL&logpath=21,"자율주행, AMR, 기계설계, 기계설비, 자동화설비, 시스템분석, 시스템설계, 아키텍처, 클라이언트, SI개발, 딥러닝, 이미지프로세싱, 인공지능, 기술영업, 기술지원, 반도체영업, 솔루션영업, 메카트로닉스, 로봇설계, 3D설계, 기구설계, CAM, 2D설계, 로봇설계, 유지보수, 정보통신, 통신설비, 디스플레이, 생산기술, 제품개발, 터치스크린, 회로설계, LCD, 제어·설계, LED·OLED, 자동화라인, 자동제어, 자동화라인, 기술지원, 설치, 유지보수, 기계조작, 전기·전자, 정보통신·IT, 제품개발, 로봇설계, 반도체·LCD",주임~대리급 외,점프업,~02/26(월)
넥스트그리드,[동탄] (주)넥스트그리드 [임베디드SW 설계 부문] 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44002051?rPageCode=SL&logpath=21,"전장, 전기제어, 임베디드, 기구설계, 전기",,9분 전 수정,~03/16(토)
㈜가치정보기술,지역별 SI/SM 프로젝트 안내,https://www.jobkorea.co.kr/Recruit/GI_Read/44041968?rPageCode=SL&logpath=21,"데이터관리, DW모델러, 소프트웨어개발",,11분 전 수정,~03/21(목)
에스엠플래닛,[에스엠플래닛] AI 개발자 모집 (경력자 우대),https://www.jobkorea.co.kr/Recruit/GI_Read/44045372?rPageCode=SL&logpath=21,"음성인식, 딥러닝, 인공지능, 정보통신·IT, R&D, 모델링, 소프트웨어개발, 자연어처리(NLP)",사원급 외,12분 전 수정,~03/08(금)
브이엔티지,SAP ERP SD 모듈 운영 및 개발자 (1년이상),https://www.jobkorea.co.kr/Recruit/GI_Read/44045365?rPageCode=SL&logpath=21,"SM, 솔루션, 테스터, 웹마스터, 시스템분석, SI, 정보보안, SI개발, ERP, 아키텍처, 시스템설계, 검증, 소프트웨어개발",,13분 전 수정,~03/21(목)
㈜케이씨엠에스,서산 현대트랜시스 시스템 운영 C#.Net 경험자를 모집 합니다. (k07),https://www.jobkorea.co.kr/Recruit/GI_Read/44045337?rPageCode=SL&logpath=21,"SM, .NET, C#",,14분 전 수정,모레마감
제이나인㈜,XR 개발자(경력),https://www.jobkorea.co.kr/Recruit/GI_Read/44045285?rPageCode=SL&logpath=21,"증강현실, 증강현실, 가상현실",주임~대리급,17분 전 수정,~03/21(목)
㈜7번가사람들,[7번가사람들] 직무별(디자이너/법무팀/경영지원팀) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43965181?rPageCode=SL&logpath=21,"결산, 관리회계, 문서작성, 부가세신고, 부가세신고, 패키지디자인, ERP운용, 내부감사, 4대보험, 급여관리, 재무회계, 프랜차이즈, 더존, 부가세신고, 시장조사, 잡화디자인, IPO, 데이터분석, 계산서발행, 피자, 피자점, PL, CFO, CFO, 기업회계, 브랜드기획, 신사업기획, 자금관리, 원가회계, 제안·컨설팅, 회계감사, CMO, PM, 데이터분석, 브랜드디자인, 세무조정, 재무분석, 관리회계, 재무회계, 회계감사, 세무기장, 사업기획, 재무기획, 프랜차이즈, POP, 앱기획, 외부감사, UI·UX기획, 재무기획, 계산서발행, 콘텐츠기획, 결산, 옥외광고, 정보디자인, Sign디자인, 상표담당, 세무신고, 전략기획, 콘텐츠기획, 게임기획, 스토리보드, 브랜드기획, 전략기획, 4대보험, 더존, 디지털디자인, 디지털디자인, 문화기획, 재무회계, 연구기획, 재무분석, 공증, 외환관리, 전표입력, 통계·분석, PO, 결산, 결산, 법인결산, 서비스기획, 재무기획, 회계감사, CTO, 삽화·일러스트, 경영기획, 공증, 입출금관리, 지적재산권, 지적재산권, 현수막디자인, CEO, 연말정산, 시장분석, 원가회계, 전산회계, COO, ERP운용, 데이터분석, 세무신고, 송무담당",,17분 전 수정,~02/29(목)
㈜오픈테크,(증미) 웹퍼블리셔 초급 운영 인원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44044158?rPageCode=SL&logpath=21,"웹표준·웹접근성, GUI, 소프트웨어개발",,17분 전 수정,~03/21(목)
한국해양과학기술원 부설 극지연구소,2024년 남극과학기지 월동연구대 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44013949?rPageCode=SL&logpath=21,"메뉴개발, 공조냉동, 기술지원, 에너지, 연구소, 전자통신, 중장비운전, 배관·케이블, 유지보수, 공조냉동, 에너지, 전기·전자, 신소재, A·S수리, 무선통신, 전기점검, 미생물, 네트워크관리, 전기설계, 지게차운전, 생명공학, 전기설비, 대기환경, 조선·항공·우주, 단체급식, 전기배선, 반도체·LCD, 연구기획, 연구·실험·기술, 해양, 화물차운전, 자동차정비, 한식, 배관·케이블, 굴삭기",,점프업,~03/20(수)
㈜코비스테크놀로지,"소프트웨어 인원 모집 (장비 제어 - 모션, 비젼, 측정 장비)",https://www.jobkorea.co.kr/Recruit/GI_Read/43973736?rPageCode=SL&logpath=21,시스템설계,주임~대리급 외,점프업,~04/13(토)
㈜이음이엔지,[아산/주간/기숙사] 2차전지 자동화물류설비 PLC 제어 및 S/W 개발 정규사원모집,https://www.jobkorea.co.kr/Recruit/GI_Read/43952463?rPageCode=SL&logpath=21,"메카트로닉스, 기구설계, 회로설계, 기술지원, 반도체장비, 유지보수, 기계조작, 설비, 설치, 기계조작, 자동화라인, 메카트로닉스, 전기설계, 자동제어, 반도체생산, PLC, 유지보수",,점프업,~02/29(목)
이젠컴퓨터아카데미,[서울/경기]100프로 무료 취업교육생모집 (UI.UX웹디자인&퍼블리셔/웹개발/게임/빅데이터/영상),https://www.jobkorea.co.kr/Recruit/GI_Read/43861875?rPageCode=SL&logpath=21,"CAD, 앱디자인, MAX, Unity, 메타버스, 기업교육, e러닝, IT학원, 디자인, CAD, 웹에이전시, 2D디자인, 2D온라인게임, 3D디자인, 3D모델링, 3D온라인게임, 게임디자인, 게임소프트웨어, 모바일앱게임, 웹게임, 퍼블리싱, Java게임, 모바일, 모바일App, 게임기획, 서비스기획, 제안·컨설팅, 데이터분석, 앱기획, 콘텐츠기획, UI·UX기획, 영상제작, 증강현실, 가상현실, 메타버스, 모델링, 데이터관리, 빅데이터, 데이터레이크, 데이터파이프라인, 네트워크관리, 방화벽, 정보보안, 시스템분석, 시스템설계, 정보보안, 모델링, 증강현실, 가상현실, 클라이언트, 메타버스, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 인공지능, 웹마스터, GUI, 웹표준·웹접근성, 2D디자인, 모션그래픽, 애니메이션, 원화디자인, CG, Sign디자인, 디지털디자인, 모션그래픽, 아바타디자인, 애니메이션, 원화디자인, 모션그래픽, 애니메이션, CG, 영상제작, 모바일디자인, UI·UX기획, GUI, 모바일디자인, UI·UX기획, 맥디자인, 삽화·일러스트, 2D디자인, 모션그래픽, 애니메이션, 제품개발, 제어·설계, 기계조작, 캐드원, 3D설계, CAM, 건축설계, 건축CM, 리모델링, 캐드원, 건축설계, 특수효과, CG, 영상제작",,점프업,~03/01(금)
㈜솔트룩스이노베이션,[경력] SIP/ VoIP 개발 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44004044?rPageCode=SL&logpath=21,"네트워크관리, BigData, GUI, MariaDB, 웹표준·웹접근성, 펌웨어, 데이터레이크, 인터페이스, SI개발, 솔루션, SQL, Centos, 시스템설계, 데이터시각화, 시스템분석, 시스템운영, SI, 서버관리, 챗봇, 시스템운영, 정보보안, SI개발, 서버구축, 시스템분석, 반응형웹, SI개발, 네트워크관리, 웹마스터, Linux, 클라이언트, SI개발, Ubuntu, 리눅스, 시스템분석, 시스템설계, 증강현실, 데이터분석, 인터페이스, 솔루션스아키텍트, 클라우드개발자, 분석모델링, 아키텍처, 클라이언트, C/C++, 서버구축, 시스템설계, 반응형웹, HTTP, 서버관리, 클라우드아키텍트, 핀테크, 네트워크관리, 소프트웨어개발, 핀테크, 데이터파이프라인, rdb, 메타버스",주임~대리급 외,점프업,~03/16(토)
㈜모티브플럭스,"GUI Designer, Motion & Interaction(신입/경력) 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/43946641?rPageCode=SL&logpath=21,"2D디자인, CI, 웹표준·웹접근성, 안드로이드, UI·UX기획, 모션그래픽, 데이터분석, 모션그래픽, 스마트폰, 애니메이션, Sign디자인, 원화디자인, 제안·컨설팅, CG, PM, UI·UX디자인, Illustrator, 모바일디자인, 앱기획, UI·UX기획, 애니메이션, 콘텐츠기획, After Effect, 아이폰, 스토리보드, 모바일, GUI, 서비스기획, 아바타디자인, C4D, Sketch",,점프업,~02/29(목)
㈜아이모비,"[신입] (주)아이모비 기술지원, 영업관리 정규직 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/44024516?rPageCode=SL&logpath=21,"B2B, 거래처관리, 이동통신, 전자통신, 상품기획, B2C, 가맹점관리, 네트웍구축, 대리점관리, 거래선개발관리, 네트워크관리, 식품영업, 오픈마켓, 정보통신, 통신, 고객관리, 국내영업",사원급 외,점프업,~03/22(금)
메니인소프트㈜,24년도 정규직 개발자(경기 지사 근무) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44024536?rPageCode=SL&logpath=21,"BigData, SM, SI개발, 솔루션, 시스템분석, SI개발, 시스템설계, SEM, 소프트웨어개발",사원급 외,점프업,~03/22(금)
